term,unique_users,hits
PI15,13,32
PROM1,5,6
ush2A,5,6
Q9Y3R5,5,5
A6NNB3,4,4
ASXL3,4,4
CSMD1,4,4
P07320,4,4
P49335,4,4
PRPH2,4,4
Q15744,4,4
Q8IZP9,4,4
Q9UBY8,4,4
Q9ULL8,4,4
Q9Y458,4,4
NCOA4,3,12
STK33,3,8
ZMIZ1,3,6
chd2,3,5
LZTR1,3,5
CST7,3,4
phip,3,4
ANKRD13C,3,3
camta1,3,3
esrg,3,3
FAT4,3,3
hmcn1,3,3
JAZF1,3,3
midn,3,3
MTDH,3,3
O60225,3,3
P12883,3,3
P50851,3,3
P55808,3,3
P62070,3,3
Q6P4D5,3,3
Q86UN6,3,3
Q8N7X4,3,3
Q96P67,3,3
Q9BZA7,3,3
samd9l,3,3
vps13b,3,3
BMPER,2,15
HOXC11,2,6
SYNPO,2,5
VASH1,2,5
ADARB2,2,4
CELSR2,2,4
CTNND2,2,4
MN1,2,4
MYCL,2,4
CCBE1,2,3
CCL18,2,3
COX7A1,2,3
DFNA5,2,3
EFHD2,2,3
GOLGA8A,2,3
HOXA13,2,3
LUZP2,2,3
MYNN,2,3
P04278,2,3
P55000,2,3
P57082,2,3
PACS2,2,3
Q03167,2,3
Q99797,2,3
RAP1GDS1,2,3
rrAS2,2,3
SLFN11,2,3
tbck,2,3
TENM2,2,3
USP9Y,2,3
znf469,2,3
A8K2U0,2,2
ABCF2,2,2
ADGRG6,2,2
ANGPTL6,2,2
ankle1,2,2
BANK1,2,2
ccm2,2,2
CEP120,2,2
CRIP2,2,2
DGCR2,2,2
dnah10,2,2
DNAH14,2,2
DPP6,2,2
egr3,2,2
egr4,2,2
epsti1,2,2
FLCN,2,2
FOCAD,2,2
FOXP4,2,2
FREM1,2,2
GIGYF2,2,2
GPR174,2,2
gxylt1,2,2
HDGFRP3,2,2
IGSF9B,2,2
inf2,2,2
LRBA,2,2
mnx1,2,2
myo18b,2,2
NDUFA4L2,2,2
P05408,2,2
P13797,2,2
P43320,2,2
P54821,2,2
pax7,2,2
pkd1l2,2,2
POSTN,2,2
PPP1R3A,2,2
prune2,2,2
ptp4a3,2,2
Q16538,2,2
q494r0,2,2
Q495T6,2,2
Q6DN12,2,2
Q8N6S4,2,2
Q9C091,2,2
Q9H267,2,2
Q9H6K4,2,2
Q9H8Y5,2,2
Q9NSK7,2,2
Q9NZ56,2,2
RUFY2,2,2
SACS,2,2
setbp1,2,2
SLC38A10,2,2
Smarcad1,2,2
SPAG17,2,2
spink1,2,2
STARD9,2,2
SULF2,2,2
TBX2,2,2
Tfcp2l1,2,2
tspan8,2,2
wdr73,2,2
nsun5,1,10
tenm3,1,6
PCDH11Y,1,5
CCDC88a,1,4
CLRN3,1,4
FAT1,1,4
SERPINA9,1,4
SETD4,1,4
SETMAR,1,4
CABP1,1,3
GGTLC1,1,3
gulp,1,3
LHFPL4,1,3
MDS2,1,3
MLLT11,1,3
NEK5,1,3
prdm12,1,3
RPUSD4,1,3
SAMD9,1,3
sidt2,1,3
SLC43A3,1,3
ten1,1,3
TM4SF5,1,3
ythdc2,1,3
ADGRF1,1,2
alpk1,1,2
arl14,1,2
ARMS2,1,2
ASMTL,1,2
bcorl1,1,2
C9J202,1,2
C9orf114,1,2
CALHM6,1,2
ccer2,1,2
CENPV,1,2
CMPK2,1,2
COBLL1,1,2
cpne5,1,2
CRNN,1,2
DHRS2,1,2
dlec1,1,2
Fcrla,1,2
FSTL5,1,2
fut2,1,2
GPR162,1,2
GPR85,1,2
gsdme,1,2
gulp1,1,2
H2AFY2,1,2
HHATL,1,2
HORMAD1,1,2
IFIT5,1,2
ifnw1,1,2
irg1,1,2
JMJD8,1,2
LMTK2,1,2
LMTK3,1,2
LPHN2,1,2
LRIG3,1,2
lrwd1,1,2
LTK,1,2
MAP3K10,1,2
MAP3K15,1,2